,url,prix,adresse,surface,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de sejour,Description
0,https://www.zoopla.co.uk//for-sale/details/54148027?search_identifier=691dd6c574d8e7b247dace490616d560,"£475,000","Nimrod Road, London SW16",NA,A,2,1,1,2 bed flat for sale
1,https://www.zoopla.co.uk//for-sale/details/54147947?search_identifier=691dd6c574d8e7b247dace490616d560,"£250,000","Spottiswood Close, Harry Close, Croydon CR0",NA,A,1,NA,NA,1 bed flat for sale
2,https://www.zoopla.co.uk//new-homes/details/54147895?search_identifier=691dd6c574d8e7b247dace490616d560,"£485,000","Plot 123, Grand Union Canal, West Drayton UB8",NA,N,3,2,NA,3 bed flat for sale
3,https://www.zoopla.co.uk//new-homes/details/54147905?search_identifier=691dd6c574d8e7b247dace490616d560,"£121,250","Plot 123, Grand Union Canal, West Drayton UB8",NA,N,3,2,NA,3 bed flat for sale
4,https://www.zoopla.co.uk//for-sale/details/54147865?search_identifier=691dd6c574d8e7b247dace490616d560,"£650,000","144 Wapping High Street, London E1W",NA,A,2,1,1,2 bed flat for sale
5,https://www.zoopla.co.uk//for-sale/details/54147841?search_identifier=691dd6c574d8e7b247dace490616d560,"£500,000","Cowleaze Road, Kingston Upon Thames KT2",NA,A,2,1,1,2 bed flat for sale
6,https://www.zoopla.co.uk//for-sale/details/46315032?search_identifier=691dd6c574d8e7b247dace490616d560,"£305,000","Church Road, Crystal Palace, London, Greater London SE19",NA,A,1,1,1,1 bed flat for sale
7,https://www.zoopla.co.uk//for-sale/details/49203798?search_identifier=691dd6c574d8e7b247dace490616d560,"£295,000","Billet Lane, Hornchurch RM11",NA,A,2,1,1,2 bed flat for sale
8,https://www.zoopla.co.uk//for-sale/details/54147652?search_identifier=691dd6c574d8e7b247dace490616d560,"£425,000","Siddons Road, London SE23",NA,A,2,1,1,2 bed flat for sale
9,https://www.zoopla.co.uk//for-sale/details/54147638?search_identifier=691dd6c574d8e7b247dace490616d560,"£240,000","Hampton Road West, Hanworth, Feltham TW13",NA,A,2,1,1,2 bed flat for sale
10,https://www.zoopla.co.uk//for-sale/details/54147614?search_identifier=691dd6c574d8e7b247dace490616d560,"£3,695,000","Nottingham Place, London W1U",NA,A,3,2,NA,3 bed flat for sale
11,https://www.zoopla.co.uk//for-sale/details/54147574?search_identifier=691dd6c574d8e7b247dace490616d560,"£435,000","Streatham Hill, Streatham SW2",NA,A,3,1,1,3 bed maisonette for sale
12,https://www.zoopla.co.uk//for-sale/details/54147568?search_identifier=691dd6c574d8e7b247dace490616d560,"£665,000","Ingelow Road, London SW8",NA,A,2,1,1,2 bed flat for sale
13,https://www.zoopla.co.uk//for-sale/details/54147555?search_identifier=691dd6c574d8e7b247dace490616d560,"£350,000","Clifton Road, Greenford UB6",NA,A,2,1,1,2 bed maisonette for sale
14,https://www.zoopla.co.uk//new-homes/details/52367066?search_identifier=691dd6c574d8e7b247dace490616d560,"£520,000","""Apartment"" at Station Approach, Sydenham Road, London SE26",NA,N,3,NA,1,3 bed flat for sale
15,https://www.zoopla.co.uk//for-sale/details/54147464?search_identifier=691dd6c574d8e7b247dace490616d560,"£728,000","Palmer Road, London SW11",NA,A,1,1,1,1 bed flat for sale
16,https://www.zoopla.co.uk//for-sale/details/54147444?search_identifier=691dd6c574d8e7b247dace490616d560,"£692,000","Palmer Road, London SW11",NA,A,1,1,1,1 bed flat for sale
17,https://www.zoopla.co.uk//for-sale/details/54147423?search_identifier=691dd6c574d8e7b247dace490616d560,"£440,000","Argyll Road, Royal Arsenal, London SE18",NA,A,2,2,1,2 bed flat for sale
18,https://www.zoopla.co.uk//for-sale/details/52723616?search_identifier=691dd6c574d8e7b247dace490616d560,"£375,000","Alverton Street, London SE8",NA,A,3,1,1,3 bed maisonette for sale
19,https://www.zoopla.co.uk//new-homes/details/54147339?search_identifier=691dd6c574d8e7b247dace490616d560,"£715,000","Rectangular Building, City North, Finsbury Park, London N4",883 sq. ft*,N,2,2,1,2 bed flat for sale
20,https://www.zoopla.co.uk//for-sale/details/54147257?search_identifier=691dd6c574d8e7b247dace490616d560,"£230,000","Eastern Avenue, Ilford IG2",NA,A,1,1,1,1 bed flat for sale
21,https://www.zoopla.co.uk//for-sale/details/54146950?search_identifier=691dd6c574d8e7b247dace490616d560,"£225,000","Walton Road, Manor Park, London E12",NA,A,1,NA,NA,1 bed flat for sale
22,https://www.zoopla.co.uk//for-sale/details/49345585?search_identifier=691dd6c574d8e7b247dace490616d560,"£210,000","Magpie Close, Enfield EN1",NA,A,1,1,1,1 bed flat for sale
23,https://www.zoopla.co.uk//for-sale/details/54146680?search_identifier=691dd6c574d8e7b247dace490616d560,"£370,000","Drayton Bridge Road, London W7",NA,A,2,NA,NA,2 bed flat for sale
24,https://www.zoopla.co.uk//for-sale/details/54146666?search_identifier=691dd6c574d8e7b247dace490616d560,"£610,000","Flower Lane, Hartley Avenue, London NW7",NA,A,2,NA,NA,2 bed flat for sale
